nfw	-2.4	1.0198	[-2, -2, -1, -3, -1, -2, -4, -3, -4, -2]
nimby	-0.8	0.6	[0, 0, -1, 0, -1, -2, -1, -1, -1, -1]
nimjd	-0.7	0.78102	[0, -2, -1, -2, 0, -1, 0, 0, 0, -1]
nimq	-0.2	0.6	[0, 0, 0, 0, 0, 0, 0, 0, -2, 0]
nimy	-1.4	1.68523	[-1, -2, -3, -2, -1, 2, -3, 0, 0, -4]
nitl	-1.5	0.92195	[-1, -1, -2, -3, -1, -3, -1, -2, 0, -1]
nme	-2.1	1.13578	[-1, -2, -2, -1, -4, -2, -3, -3, 0, -3]
noyb	-0.7	1.67631	[-1, -2, 0, -1, -1, -2, -2, -1, 4, -1]
o-8	-0.5	1.5	[2, -1, 0, 0, -2, -2, 0, -2, 2, -2]
o-:	-0.3	1.18743	[2, -1, 0, 0, -1, -2, 0, -2, 1, 0]
o-|	-1.1	0.53852	[-1, -1, -1, 0, -1, -1, -1, -2, -2, -1]
o.o	-0.6	0.8	[-1, -1, -2, 0, 1, 0, -1, 0, -1, -1]
o.O	-0.6	0.8	[-1, -1, -2, 0, 1, 0, -1, 0, -1, -1]
o:	-0.2	0.87178	[-1, 0, -1, -2, 0, 1, 0, 1, 0, 0]
o:<	-0.3	1.1	[-1, -1, -2, 0, -1, 0, 1, 2, 0, -1]
o_o	-0.5	0.92195	[0, -1, 0, -2, -2, 0, -1, 1, 0, 0]
o_O	-0.5	0.92195	[0, -1, 0, -2, -2, 0, -1, 1, 0, 0]
pita	-2.4	1.2	[-2, -1, -1, -4, -4, -2, -4, -2, -3, -1]
po	-2.6	0.91652	[-2, -3, -4, -3, -3, -3, -1, -3, -1, -3]
pu	-1.1	1.3	[-3, -1, -3, -2, -1, -1, -1, -1, 1, 1]
qq	-2.2	0.6	[-2, -2, -1, -3, -3, -2, -2, -3, -2, -2]
s:	-1.1	0.83066	[-1, -1, -2, -2, -1, -1, -2, -1, 1, -1]
sapfu	-1.1	1.57797	[-2, 0, -3, -1, -1, 1, -2, 2, -2, -3]
smh	-1.3	0.64031	[-2, -1, 0, -1, -1, -2, -2, -1, -2, -1]
snafu	-2.5	1.11803	[-3, -4, -3, -3, -1, 0, -2, -3, -3, -3]
sob	-2.8	0.9798	[-3, -4, -3, -2, -2, -1, -2, -4, -4, -3]
tmi	-0.3	1.61555	[-1, -1, 2, -1, 1, -2, -2, -1, 3, -1]
wag	-0.2	0.74833	[-1, 0, 0, 0, 0, 0, -2, 1, 0, 0]
wtf	-2.8	0.74833	[-4, -3, -2, -3, -2, -2, -2, -4, -3, -3]
wth	-2.4	0.4899	[-2, -3, -2, -3, -2, -2, -2, -3, -3, -2]
zzz	-1.2	0.87178	[0, -1, 0, -1, -3, -1, -1, -2, -2, -1]
abandon	-1.9	0.53852	[-1, -2, -2, -2, -2, -3, -2, -2, -1, -2]
abandoned	-2.0	1.09545	[-1, -1, -3, -2, -1, -4, -1, -3, -3, -1]
abandoner	-1.9	0.83066	[-1, -1, -3, -2, -1, -3, -1, -2, -3, -2]
abandoners	-1.9	0.83066	[-2, -3, -2, -3, -2, -1, -2, -2, 0, -2]
abandoning	-1.6	0.8	[-3, -2, -3, -2, -1, -1, -1, -1, -1, -1]
abandonment	-2.4	1.0198	[-4, -2, -1, -4, -2, -1, -2, -3, -3, -2]
abandonments	-1.7	0.45826	[-2, -1, -2, -2, -1, -2, -1, -2, -2, -2]
abandons	-1.3	0.9	[-2, -1, -1, -2, -1, -2, -1, -2, 1, -2]
abducted	-2.3	1.18743	[-3, -1, 0, -3, -1, -3, -4, -2, -3, -3]
abduction	-2.8	0.87178	[-4, -3, -3, -4, -1, -3, -2, -2, -3, -3]
abductions	-2.0	1.41421	[-3, -4, -1, -3, -1, -3, 1, -2, -1, -3]
abhor	-2.0	1.09545	[-3, -3, -1, -1, -2, -1, -3, -3, 0, -3]
abhorred	-2.4	1.49666	[-4, -4, 0, -3, -2, -1, -4, -3, -3, 0]
abhorrent	-3.1	1.3	[-4, -4, -4, -2, 0, -4, -2, -3, -4, -4]
abhors	-2.9	1.51327	[0, -4, -3, -3, -4, -4, 0, -4, -3, -4]
absentee	-1.1	0.53852	[-1, -1, 0, -2, -1, -1, -2, -1, -1, -1]
absentees	-0.8	0.6	[-1, 0, 0, -1, -1, 0, -2, -1, -1, -1]
abuse	-3.2	0.6	[-4, -2, -3, -4, -3, -4, -3, -3, -3, -3]
abused	-2.3	0.64031	[-2, -2, -3, -2, -2, -4, -2, -2, -2, -2]
abuser	-2.6	0.4899	[-3, -2, -3, -3, -2, -3, -2, -2, -3, -3]
abusers	-2.6	1.0198	[-2, -3, -3, -3, -3, -2, -3, -4, -3, 0]
abuses	-2.6	0.66332	[-3, -2, -3, -3, -3, -3, -1, -2, -3, -3]
abusing	-2.0	1.41421	[-1, -2, -2, -4, -4, -2, -3, -1, 1, -2]
abusive	-3.2	0.74833	[-4, -3, -3, -4, -4, -3, -4, -2, -3, -2]
abusively	-2.8	0.6	[-3, -4, -3, -2, -3, -2, -2, -3, -3, -3]
abusiveness	-2.5	0.92195	[-2, -4, -2, -3, -2, -3, -4, -2, -1, -2]
abusivenesses	-3.0	0.63246	[-3, -3, -4, -3, -4, -2, -2, -3, -3, -3]
accident	-2.1	0.83066	[-2, -2, -1, -3, -4, -2, -2, -1, -2, -2]
accidental	-0.3	0.45826	[-1, -1, 0, 0, 0, 0, 0, 0, -1, 0]
accidentally	-1.4	0.91652	[-2, 0, -2, 0, -3, -1, -1, -1, -2, -2]
accidents	-1.3	0.78102	[-1, -1, -1, -1, -2, 0, -3, -1, -2, -1]
accusation	-1.0	1.09545	[-1, -1, -2, -2, -2, -1, -1, -1, 2, -1]
accusations	-1.3	1.26886	[-2, -2, -1, -3, -2, -1, -1, 2, -2, -1]
accuse	-0.8	1.53623	[-3, -1, -1, -2, 1, -2, 1, -2, 2, -1]
accused	-1.2	1.46969	[-2, -1, -2, 2, -2, -3, -2, -2, -1, 1]
accuses	-1.4	1.0198	[-2, -1, -2, 1, -2, -3, -1, -2, -1, -1]
accusing	-0.7	1.34536	[-2, -1, -1, 1, -3, -1, -1, 2, -1, 0]
ache	-1.6	1.2	[-1, -2, -2, -2, -1, -4, -1, 1, -2, -2]
ached	-1.6	0.8	[-2, -2, -1, -2, -1, -2, -3, 0, -1, -2]
aches	-1.0	0.7746	[-1, -2, -1, -1, -1, 1, -2, -1, -1, -1]
aching	-2.2	0.74833	[-2, -3, -2, -1, -3, -3, -2, -3, -1, -2]
acrimonious	-1.7	1.73494	[-1, -3, -2, -3, 3, -3, -1, -2, -2, -3]
admonished	-1.9	0.9434	[-2, -2, -2, -1, -2, -3, -1, -1, -1, -4]
adversarial	-1.5	0.92195	[-2, 0, -1, -3, -2, -2, 0, -1, -2, -2]
adversaries	-1.0	0.63246	[-1, -1, -1, -1, 0, -2, -2, -1, -1, 0]
adversary	-0.8	1.72047	[-3, -1, -2, -2, -2, 2, 1, -1, 2, -2]
adversative	-1.2	0.74833	[-1, -1, -2, -1, -1, -1, -3, -1, 0, -1]
adversatively	-0.1	1.37477	[0, -2, -1, 0, -1, -1, 1, 1, 3, -1]
adversatives	-1.0	0.7746	[-1, -1, -2, -1, -2, 1, -1, -1, -1, -1]
adverse	-1.5	0.80623	[-2, -2, -2, -1, -1, 0, -1, -3, -1, -2]
adversely	-0.8	1.6	[-2, -2, 0, -2, -2, 2, -2, 2, -2, 0]
adverseness	-0.6	1.35647	[-1, -2, -1, 2, -1, -2, -1, 2, -1, -1]
adversities	-1.5	0.67082	[-2, -2, -1, -1, -2, 0, -2, -1, -2, -2]
adversity	-1.8	0.6	[-3, -2, -1, -2, -2, -2, -1, -1, -2, -2]
affected	-0.6	1.35647	[-1, -2, 0, -2, 0, 0, 2, -2, 1, -2]
affectionless	-2.0	0.44721	[-2, -1, -2, -2, -2, -2, -2, -2, -2, -3]
afflicted	-1.5	1.0247	[-1, -2, -3, -2, 1, -1, -1, -2, -2, -2]
aggravate	-2.5	0.80623	[-3, -3, -2, -3, -2, -4, -3, -2, -2, -1]
aggravated	-1.9	1.04403	[-4, -3, -3, -1, -1, -1, -1, -2, -2, -1]
aggravates	-1.9	0.83066	[-3, -2, -2, -2, -3, -1, -2, -2, 0, -2]
aggravating	-1.2	0.9798	[-2, -2, -1, -2, -2, -1, 0, 1, -1, -2]
aggress	-1.3	1.55242	[-2, -2, 2, -2, -1, -3, -3, -1, 1, -2]
aggressed	-1.4	0.4899	[-1, -1, -1, -1, -2, -1, -2, -2, -2, -1]
aggresses	-0.5	1.43178	[-1, -2, -1, -1, -3, 0, -1, 1, 2, 1]
aggressing	-0.6	1.28062	[-1, -2, -1, 0, -1, -2, 2, -2, 1, 0]
aggression	-1.2	1.77764	[-2, -2, 1, 1, -4, 2, -2, -2, -2, -2]
aggressions	-1.3	1.48661	[-1, -2, -2, -2, -2, -3, 1, -2, 2, -2]
aggressive	-0.6	1.28062	[-2, 1, -2, -2, 0, -2, -1, 1, 1, 0]
aggressively	-1.3	1.55242	[-1, -2, 3, -2, -3, -2, -1, -1, -2, -2]
aggressiveness	-1.8	0.74833	[-1, -2, -1, -2, -2, -1, -3, -1, -3, -2]
aggressivities	-1.4	1.28062	[-1, -1, -1, -2, 2, -2, -2, -2, -3, -2]
aggressivity	-0.6	1.35647	[-3, -1, 1, 0, 0, 0, -3, -1, 1, 0]
aggressor	-0.8	1.32665	[-2, 0, -1, 2, -2, -2, -1, -1, -2, 1]
aggressors	-0.9	1.13578	[-2, -2, -1, -1, -1, 1, 1, 0, -2, -2]
aghast	-1.9	1.04403	[-2, -3, -1, 0, -2, -1, -4, -2, -2, -2]
agitate	-1.7	0.64031	[-2, -2, -3, -1, -1, -1, -2, -1, -2, -2]
agitated	-2.0	0.63246	[-2, -2, -2, -2, -1, -3, -3, -2, -2, -1]
agitatedly	-1.6	0.8	[-1, -2, -1, -3, -1, -3, -1, -1, -2, -1]
agitates	-1.4	0.8	[-2, 0, -1, -2, -1, -1, -3, -1, -2, -1]
agitating	-1.8	0.87178	[-2, -1, -1, -1, -2, -3, -1, -3, -3, -1]
agitation	-1.0	1.09545	[-2, -1, 1, -1, -2, -1, -2, -1, 1, -2]
agitational	-1.2	1.66132	[-3, -3, -2, 1, -1, -2, 0, 2, -1, -3]
agitations	-1.3	1.18743	[-1, -2, -1, -3, -2, -3, 0, -1, 1, -1]
agitative	-1.3	1.26886	[-2, -2, -1, -2, -1, -3, 1, -2, 1, -2]
agitato	-0.1	1.13578	[1, 2, 0, 0, 0, 0, -2, 0, -2, 0]
agitator	-1.4	0.8	[-1, -1, -1, -2, -1, -1, -2, -3, -2, 0]
agitators	-2.1	0.9434	[-2, -3, -3, -2, -2, -1, -3, -2, 0, -3]
agonise	-2.1	0.9434	[-3, -3, -2, -3, -1, -3, -1, -3, -1, -1]
agonised	-2.3	0.64031	[-2, -3, -3, -2, -2, -2, -2, -3, -1, -3]
agonises	-2.4	0.91652	[-1, -4, -3, -3, -2, -2, -2, -3, -1, -3]
agonising	-1.5	1.43178	[-3, -2, -3, -3, -1, 1, 0, 0, -1, -3]
agonize	-2.3	0.9	[-2, -3, -1, -2, -2, -2, -4, -1, -3, -3]
agonized	-2.2	1.249	[-2, -3, -3, -3, -3, -2, -1, -3, 1, -3]
agonizes	-2.3	1.18743	[-1, -3, -4, -3, -3, -2, -1, -3, 0, -3]
agonizing	-2.7	0.78102	[-3, -2, -2, -2, -4, -3, -3, -2, -4, -2]
agonizingly	-2.3	1.48661	[-3, -1, -3, -4, -4, -2, -3, 1, -1, -3]
agony	-1.8	1.16619	[-3, -1, -2, -4, -2, -1, 0, -3, -1, -1]
alarm	-1.4	0.91652	[-1, -1, -2, -2, -2, -2, -1, 1, -2, -2]
alarmed	-1.4	0.4899	[-2, -1, -2, -2, -1, -1, -1, -2, -1, -1]
alarming	-0.5	1.62788	[-1, 1, -1, 1, -3, 1, -2, -3, 1, 1]
alarmingly	-2.6	0.91652	[-3, -3, -4, -3, -2, -1, -3, -3, -1, -3]
alarmism	-0.3	1.26886	[-2, 0, -2, -1, 0, 1, 1, -1, 2, -1]
alarmists	-1.1	1.3	[-1, -2, -3, -2, -1, -2, 1, 1, 0, -2]
alarms	-1.1	1.04403	[-2, 0, -2, -1, 0, 0, 0, -1, -2, -3]
alas	-1.1	1.22066	[-1, -2, -1, 0, -1, 0, 1, -3, -1, -3]
alienation	-1.1	1.51327	[-3, -2, -3, -1, -2, -1, 2, -1, 1, -1]
allergic	-1.2	0.4	[-1, -2, -1, -2, -1, -1, -1, -1, -1, -1]
alone	-1.0	0.63246	[-2, -1, -1, -1, -2, -1, 0, -1, -1, 0]
amazons	-0.1	0.3	[0, 0, 0, 0, 0, 0, 0, 0, -1, 0]
amoral	-1.6	0.66332	[-1, -2, 0, -2, -2, -2, -2, -2, -1, -2]
amoralism	-0.7	1.34536	[-2, -1, -2, 0, 0, -3, 2, 0, -1, 0]
amoralisms	-0.7	1.00499	[-2, 0, 1, -1, -2, -1, -1, 1, -1, -1]
amoralities	-1.2	1.6	[-3, 0, 0, -2, 1, -1, 0, -4, -3, 0]
amorality	-1.5	0.92195	[0, -1, -1, -2, -1, -3, -1, -3, -2, -1]
amorally	-1.0	1.61245	[-2, 0, 1, -4, -1, 1, 1, -2, -2, -2]
amorphous	-0.2	0.4	[0, 0, 0, 0, 0, 0, -1, 0, 0, -1]
amort	-2.1	0.83066	[-3, -1, -2, -2, -2, -2, -2, -4, -1, -2]
amortised	-0.2	1.16619	[-1, -3, 0, 0, 0, 2, 0, 0, 0, 0]
amortize	-0.1	1.04403	[0, 0, 0, 0, 2, -2, -1, 1, -1, 0]
amusias	-0.4	0.66332	[-1, 0, 0, 1, 0, 0, -1, -1, -1, -1]
anger	-2.7	1.18743	[-1, -2, -3, -2, -4, -4, -2, -1, -4, -4]
angered	-2.3	0.78102	[-2, -3, -2, -4, -2, -2, -3, -2, -2, -1]
angering	-2.2	0.6	[-3, -2, -1, -3, -2, -2, -3, -2, -2, -2]
angerly	-1.9	0.53852	[-2, -2, -1, -1, -3, -2, -2, -2, -2, -2]
angers	-2.3	0.9	[-3, -1, -2, -3, -2, -2, -4, -1, -3, -2]
angrier	-2.3	0.64031	[-2, -3, -2, -3, -1, -3, -2, -3, -2, -2]
angriest	-3.1	0.83066	[-4, -3, -2, -2, -2, -4, -3, -4, -4, -3]
angrily	-1.8	0.4	[-2, -1, -2, -2, -2, -1, -2, -2, -2, -2]
angriness	-1.7	0.64031	[-2, 0, -2, -2, -1, -2, -2, -2, -2, -2]
angry	-2.3	0.9	[-2, -2, -1, -3, -1, -2, -4, -2, -3, -3]
anguish	-2.9	0.83066	[-3, -3, -2, -3, -4, -1, -3, -3, -4, -3]
anguished	-1.8	1.4	[-3, -4, -1, -3, -2, -1, -1, 1, -1, -3]
anguishes	-2.1	1.44568	[-4, -4, -2, -3, 1, -2, -1, -1, -2, -3]
anguishing	-2.7	0.9	[-2, -2, -1, -3, -2, -4, -4, -3, -3, -3]
animosity	-1.9	1.75784	[-2, -3, -3, -3, -2, 2, 1, -3, -3, -3]
annoy	-1.9	0.53852	[-2, -2, -1, -2, -2, -1, -2, -2, -2, -3]
annoyance	-1.3	1.55242	[-2, -3, -2, -2, -1, 1, -3, -2, 2, -1]
annoyances	-1.8	0.6	[-2, -2, -2, -1, -1, -2, -3, -1, -2, -2]
annoyed	-1.6	1.11355	[-3, -1, 1, -3, -1, -1, -2, -2, -2, -2]
annoyer	-2.2	0.87178	[-3, -2, -1, -3, -2, -4, -2, -1, -2, -2]
annoyers	-1.5	1.0247	[-2, -1, -2, -3, -2, -1, -1, -2, 1, -2]
annoying	-1.7	0.64031	[-1, -2, -1, -2, -1, -1, -2, -2, -3, -2]
annoys	-1.8	0.6	[-1, -2, -3, -2, -2, -2, -1, -2, -1, -2]
antagonism	-1.9	1.04403	[-1, -1, -3, -2, -4, -2, -2, 0, -2, -2]
antagonisms	-1.2	1.53623	[0, -2, -2, -2, -2, -2, 3, -2, -1, -2]
antagonist	-1.9	0.7	[-3, -1, -2, -3, -2, -2, -1, -2, -2, -1]
antagonistic	-1.7	0.9	[-2, -2, -2, 1, -2, -2, -2, -2, -2, -2]
antagonistically	-2.2	0.87178	[-2, -3, -4, -2, -2, -3, -2, -2, -1, -1]
antagonists	-1.7	0.64031	[-2, -1, -1, -2, -1, -2, -2, -3, -1, -2]
antagonize	-2.0	0.44721	[-2, -2, -2, -3, -2, -1, -2, -2, -2, -2]
antagonized	-1.4	0.66332	[-2, -1, -2, -2, -1, 0, -2, -1, -1, -2]
antagonizes	-0.5	1.9105	[-2, 4, -2, -2, 1, 0, -2, 1, -1, -2]
antagonizing	-2.7	0.64031	[-4, -2, -2, -3, -2, -3, -3, -2, -3, -3]
anti	-1.3	0.78102	[0, -2, -3, -1, -1, -2, -1, -1, -1, -1]
anxieties	-0.6	1.85472	[-2, -3, -3, -2, -1, 2, -1, 1, 1, 2]
anxiety	-0.7	2.1	[-2, -2, -2, -3, 3, -1, -3, 2, 2, -1]
anxious	-1.0	0.44721	[-1, -2, -1, -1, 0, -1, -1, -1, -1, -1]
anxiously	-0.9	0.83066	[-1, -1, -2, -1, -1, -1, -1, 0, 1, -2]
anxiousness	-1.0	1.48324	[-2, -1, -1, -1, -1, -2, 3, -3, -1, -1]
apathetic	-1.2	0.87178	[-1, -1, 0, -2, -2, -1, -1, 0, -3, -1]
apathetically	-0.4	1.28062	[-1, -1, 0, -1, -2, 2, -1, -1, 2, -1]
apathies	-0.6	1.0198	[-1, -1, -1, -2, 0, 1, -1, -2, 1, 0]
apathy	-1.2	1.32665	[-2, -2, -1, 1, -1, -3, -1, 1, -1, -3]
apeshit	-0.9	2.21133	[-4, -3, 2, -3, -2, -3, 1, 0, 2, 1]
apocalyptic	-3.4	0.66332	[-4, -2, -3, -4, -3, -4, -4, -3, -3, -4]
apologizing	-0.3	1.34536	[1, 2, -1, 1, -1, 0, -3, 0, -1, -1]
appall	-2.4	0.66332	[-3, -2, -2, -3, -2, -3, -1, -3, -2, -3]
appalled	-2.0	0.63246	[-3, -2, -3, -2, -2, -1, -1, -2, -2, -2]
appalling	-1.5	1.5	[-2, -4, 1, -1, 1, -1, -2, -3, -2, -2]
appallingly	-2.0	1.67332	[-3, -2, 0, -2, 2, -3, -4, -3, -2, -3]
appalls	-1.9	1.37477	[0, -3, -2, -3, -3, -2, -1, -3, 1, -3]
apprehensibly	-0.2	1.16619	[0, 0, -1, 2, -1, 2, -1, -1, -1, -1]
apprehension	-2.1	0.83066	[-1, -2, -2, -1, -2, -3, -3, -3, -1, -3]
apprehensions	-0.9	1.04403	[-1, -1, -1, -1, -2, -2, -1, -1, -1, 2]
apprehensively	-0.3	1.18743	[-1, -1, -1, 0, 1, -2, -1, 1, -1, 2]
apprehensiveness	-0.7	0.9	[-1, 1, -1, -1, 1, -1, -2, -1, -1, -1]
arguable	-1.0	0.63246	[-1, -1, -2, -1, -1, -2, 0, 0, -1, -1]
arguably	-1.0	1.09545	[0, -2, 0, -2, 0, 1, -1, -2, -2, -2]
argue	-1.4	0.66332	[-1, -2, -1, -3, -2, -1, -1, -1, -1, -1]
argued	-1.5	0.5	[-2, -2, -1, -1, -1, -1, -2, -2, -2, -1]
arguer	-1.6	0.4899	[-2, -2, -1, -2, -1, -1, -2, -2, -2, -1]
arguers	-1.4	0.4899	[-2, -1, -1, -2, -1, -1, -2, -2, -1, -1]
argues	-1.6	0.4899	[-2, -2, -1, -2, -1, -1, -2, -2, -2, -1]
arguing	-2.0	0.63246	[-3, -3, -1, -1, -2, -2, -2, -2, -2, -2]
argument	-1.5	0.80623	[-3, -1, -1, -1, -1, -2, 0, -2, -2, -2]
argumentative	-1.5	0.67082	[-3, -2, -1, -1, -1, -1, -1, -2, -2, -1]
argumentatively	-1.8	0.9798	[-4, -2, -1, -1, -3, -1, -2, -2, -1, -1]
argumentive	-1.5	0.80623	[-3, -2, -2, -1, 0, -1, -1, -1, -2, -2]
arguments	-1.7	0.64031	[-1, -1, -2, -2, -2, -3, -2, -1, -1, -2]
arrest	-1.4	1.42829	[-1, 0, -1, 0, -2, -3, 0, -4, -3, 0]
arrested	-2.1	1.04403	[-2, -2, -2, -1, -1, -4, -1, -4, -2, -2]
arrests	-1.9	0.83066	[-4, -2, -1, -1, -1, -2, -2, -2, -2, -2]
arrogance	-2.4	0.66332	[-3, -2, -2, -3, -1, -2, -3, -3, -2, -3]
arrogances	-1.9	0.53852	[-1, -2, -3, -2, -2, -2, -2, -1, -2, -2]
arrogant	-2.2	0.6	[-2, -2, -2, -3, -2, -3, -3, -2, -1, -2]
arrogantly	-1.8	1.4	[-3, -2, 2, -3, -1, -3, -2, -2, -2, -2]
ashamed	-2.1	1.3	[-3, -3, -3, -2, -2, 1, -2, -4, -1, -2]
ashamedly	-1.7	0.64031	[-2, -2, -2, -1, -2, -3, -1, -2, -1, -1]
ass	-2.5	1.43178	[-4, -1, -2, -1, -3, 0, -2, -4, -4, -4]
assassination	-2.9	0.9434	[-2, -4, -4, -3, -3, -4, -2, -3, -3, -1]
assassinations	-2.7	1.34536	[-4, -2, -3, -2, -3, -1, -4, -4, 0, -4]
assault	-2.8	0.9798	[-3, -4, -2, -2, -4, -3, -1, -3, -2, -4]
assaulted	-2.4	1.28062	[-3, -3, 1, -3, -3, -3, -1, -3, -3, -3]
assaulting	-2.3	1.1	[-4, -3, -2, -1, -2, -1, -1, -4, -3, -2]
assaultive	-2.8	0.87178	[-3, -4, -2, -4, -3, -2, -3, -1, -3, -3]
assaults	-2.5	0.92195	[-1, -3, -3, -3, -4, -3, -1, -2, -2, -3]
assfucking	-2.5	1.43178	[-3, -3, 0, -3, 0, -2, -4, -4, -4, -2]
assholes	-2.8	0.74833	[-3, -3, -3, -3, -4, -3, -2, -3, -1, -3]
attack	-2.1	0.83066	[-1, -3, -2, -3, -3, -1, -2, -1, -2, -3]
attacked	-2.0	1.78885	[-2, 3, -2, -2, -3, -3, -3, -4, -2, -2]
attacker	-2.7	0.9	[-2, -3, -2, -1, -3, -3, -4, -4, -2, -3]
attackers	-2.7	0.64031	[-3, -3, -3, -2, -3, -3, -4, -2, -2, -2]
attacking	-2.0	0.89443	[-3, -1, -1, -3, -3, -1, -3, -1, -2, -2]
attacks	-1.9	0.9434	[-2, -2, 0, -2, -2, -2, -1, -4, -2, -2]
aversion	-1.9	1.04403	[-3, -3, -1, -2, 0, -3, -1, -2, -1, -3]
aversions	-1.1	1.13578	[-2, -1, -2, -2, -2, 1, -1, -2, 1, -1]
aversive	-1.6	0.66332	[-2, -1, -1, -1, -2, -2, -1, -2, -3, -1]
aversively	-0.8	1.53623	[-3, -1, -2, -1, 1, -2, 2, -2, 1, -1]
avert	-0.7	0.78102	[-1, 0, -2, -1, -1, 1, -1, 0, -1, -1]
averted	-0.3	1.00499	[-1, 1, 0, 0, 1, 0, -2, 0, 0, -2]
averts	-0.4	1.0198	[-2, -2, -1, -1, 0, 0, 1, 0, 1, 0]
avoid	-1.2	0.6	[-1, -1, -1, -1, -2, -2, -1, -2, 0, -1]
avoidance	-1.7	0.45826	[-2, -2, -1, -1, -1, -2, -2, -2, -2, -2]
avoidances	-1.1	0.53852	[-1, -1, -1, -1, -2, 0, -1, -2, -1, -1]
avoided	-1.4	0.4899	[-2, -1, -2, -1, -1, -1, -2, -1, -2, -1]
avoider	-1.8	0.6	[-2, -1, -3, -1, -2, -2, -2, -1, -2, -2]
avoiders	-1.4	0.66332	[-2, -2, -1, -2, -1, -1, 0, -1, -2, -2]
avoiding	-1.4	0.91652	[-2, 1, -2, -2, -1, -2, -1, -1, -2, -2]
avoids	-0.7	0.45826	[-1, -1, -1, -1, -1, -1, 0, 0, 0, -1]
awaited	-0.1	0.83066	[1, 0, 0, 0, 1, -1, 0, 0, -2, 0]
awful	-2.0	2.04939	[-2, -2, -3, -3, -2, -3, 4, -3, -3, -3]
awkward	-0.6	1.56205	[-2, -1, -1, -1, -1, -1, -1, -1, 4, -1]
awkwardly	-1.3	0.45826	[-1, -1, -2, -1, -1, -1, -1, -2, -2, -1]
awkwardness	-0.7	1.41774	[-1, -2, -2, -1, -2, 2, -1, -1, 2, -1]
axe	-0.4	0.8	[-2, 0, 0, 0, 0, 0, -1, -1, -1, 1]
axed	-1.3	0.78102	[-1, -2, 0, -3, -1, -2, -1, -1, -1, -1]
backs	-0.2	0.4	[0, 0, -1, 0, 0, 0, 0, -1, 0, 0]
bad	-2.5	0.67082	[-3, -2, -4, -3, -2, -2, -3, -2, -2, -2]
badass	-0.6	1.85472	[-2, 3, 0, 0, -1, -3, -1, -3, 2, -1]
